Bear,Datetime_behavior_starts,Datetime_behavior_ends,Behavior,Comments
1,4/7/2014 16:00:22,4/7/2014 16:01:12,laying,moving head
1,4/7/2014 17:49:07,4/7/2014 17:49:57,rolling in snow,"shaking head, adult male present in distance"
1,4/7/2014 17:50:53,4/7/2014 17:51:31,rolling in snow,"shaking head, adult male present in distance"
1,4/7/2014 17:51:31,4/7/2014 17:51:53,walking,through rubble (away from adult male)
1,4/7/2014 17:52:53,4/7/2014 17:53:53,sitting or standing,
1,4/7/2014 17:54:53,4/7/2014 17:55:53,sitting or standing,looking from side to side
1,4/7/2014 17:56:53,4/7/2014 17:57:53,sitting or standing,looking from side to side
1,4/7/2014 17:58:53,4/7/2014 17:59:53,sitting or standing,looking from side to side
1,4/7/2014 18:00:53,4/7/2014 18:01:53,sitting or standing,looking from side to side
1,4/7/2014 18:02:53,4/7/2014 18:03:53,sitting or standing,looking from side to side
1,4/7/2014 18:04:53,4/7/2014 18:05:48,sitting or standing,looking from side to side adult male in view
1,4/7/2014 18:05:48,4/7/2014 18:05:53,walking,away from adult male
1,4/7/2014 18:06:53,4/7/2014 18:07:34,walking,some pauses
1,4/7/2014 18:07:34,4/7/2014 18:07:37,rolling in snow,
1,4/7/2014 18:07:37,4/7/2014 18:07:53,sitting or standing,head shake
1,4/7/2014 18:08:53,4/7/2014 18:09:53,walking,and standing
1,4/7/2014 18:10:53,4/7/2014 18:11:53,sitting or standing,adult male in view
1,4/7/2014 18:12:53,4/7/2014 18:13:53,sitting or standing,
1,4/7/2014 18:14:53,4/7/2014 18:15:53,sitting or standing,
1,4/7/2014 18:16:53,4/7/2014 18:17:53,sitting or standing,eating snow
1,4/7/2014 18:18:53,4/7/2014 18:19:53,sitting or standing,"eating snow, head shake"
1,4/7/2014 18:20:53,4/7/2014 18:20:59,walking,
1,4/7/2014 18:20:59,4/7/2014 18:21:00,rolling in snow,
1,4/7/2014 18:21:00,4/7/2014 18:21:53,walking,some pauses
1,4/7/2014 18:22:53,4/7/2014 18:23:53,mixed,"stepping, rolling, head shake, standing"
1,4/7/2014 18:24:53,4/7/2014 18:25:53,rolling in snow,head shake
1,4/7/2014 18:26:53,4/7/2014 18:27:53,rolling in snow,head shake bear in view
1,4/7/2014 18:28:53,4/7/2014 18:29:53,interacting,"running at adult male, mouth popping"
1,4/7/2014 18:30:53,4/7/2014 18:31:53,rolling in snow,and standing
1,4/7/2014 18:32:53,4/7/2014 18:33:53,rolling in snow,and laying
1,4/7/2014 18:34:53,4/7/2014 18:35:53,laying,looking from side to side
1,4/7/2014 18:36:53,4/7/2014 18:37:53,laying,resting
1,4/7/2014 18:38:53,4/7/2014 18:39:53,laying,resting
1,4/7/2014 18:40:53,4/7/2014 18:41:53,laying,"adult male in view, looking from side to side"
1,4/7/2014 18:42:53,4/7/2014 18:43:53,standing,"adult male in view, looking from side to side, popping mouth"
