month,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
January,864494.23,925665.717,875888.588,909771.066,910105.063,887575.942,910411.537,910846.914,871745.291,,903835.423,924963.835,915187.357,906895.219,916024.706,889569.198,899411.902,922370.001,911140.726,937027.149,894904.627,930222.343,935397.042,887972.978,891971.849,906362.798,927686.203,926632.248,908261.649,916986.352,934940.743,896146.326,925289.596,929532,934277.824,909573.037,889217.262,923898.404,915439.588,899099.389,915151.64
February,893671.086,911256.696,885033.927,917579.491,906279.224,921328.506,913433.615,908834.251,886404.708,921501.946,929223.695,917473.849,913711.9,937781.942,918771.882,923893.839,934629.388,914976.999,928980.377,921815.279,919051.797,936069.567,933358.917,928127.939,898777.532,934048.08,930176.721,937585.269,914316.505,927703.231,913881.327,906811.842,915423.338,931302.619,935493.567,922121.511,920611.589,917781.606,909903.326,929652.498,925017.119
March,894769.042,889957.264,900526.106,870377.434,906783.499,902993.912,911854.035,912437.212,887932.17,920865.578,865689.396,925541.591,927912.654,931991.958,913271.104,922369.902,935659.121,910187.449,932088.769,921295.621,927985.323,937450.309,926765.772,909494.39,905096.644,919928.64,934502.267,912967.884,910248.61,928002.699,907256.014,933783.017,918441.859,936630.33,922055.356,910526.573,917818.699,899650.799,924276.207,928857.457,899737.842
April,909406.391,910938.61,925739.185,881992.401,924617.491,914971.896,922053.368,913547.169,890375.13,932591.466,891335.238,918369.419,931754.061,933257.442,912469.007,915985.758,926547.843,915609.866,924913.046,920210.352,919997.235,931680.495,934294.562,913717.053,911753.019,914557.806,936839.521,921954.316,896090.763,932906.658,927575.861,916615.123,930864.807,935583.145,930519.73,934142.364,926517.066,930023.911,926250.171,925423.475,898942.782
May,899269.379,930452.214,920253.067,892588.291,905141.7,931339.448,933689.558,925462.415,902621.376,902363.617,883784.803,906903.35,907655.345,934092.294,926419.844,919080.902,830396.495,934403.451,904243.396,863412.609,918056.145,929181.209,933498.376,901701.029,831378.28,929122.516,915887.899,924578.803,881750.231,893234.333,853148.186,885969.347,933898.832,908873.292,938505.712,877039.786,866598.144,775764.512,933499.445,919951.5,898643.768
June,810737.724,878451.975,863886.995,871135.779,873002.134,909178.895,868666.489,847986.642,821176.221,804685.675,895268.168,818013.173,771209.642,908565.227,837338.323,814471.274,760419.383,844615.43,903747.521,662031.851,861616.846,927808.777,890629.557,839021.967,829912.479,862574.906,794977.944,899701.528,831581.726,737566.841,874456.149,819548.625,753516.724,742008.552,904062.279,887258.043,765317.477,583278.743,733026.795,829731.984,602377.773
July,824312.114,767727.838,713139.675,639642.453,798754.467,808941.341,718983.582,681052.732,587371.913,663584.255,778520.005,725609.903,775479.397,732651.932,553660.47,863024.539,681817.999,750266.602,650439.22,404806.703,692776.111,714700.598,762488.581,734713.726,673508.491,619662.701,618037.58,749531.469,592469.399,424317.893,619901.071,497929.633,572969.219,466105.284,753276.932,618922.634,556769.405,469955.398,577329.85,674772.709,508467.724
August,693055.976,608048.651,445034.215,579228.396,714951.649,666492.934,667680.033,716402.758,460026.889,496825.114,656380.68,636256.004,765315.188,657873.381,379652.917,706438.243,446448.467,630525.59,525818.056,284648.302,535618.434,526702.055,620308.33,637794.516,506065.234,544838.958,588693.594,522682.817,360739.56,162858.693,477231.809,365681.494,330473.726,236006.194,552667.66,455388.533,336715.034,236251.993,423062.306,442040.174,294407.4
September,517779.613,608826.507,431134.935,517004.573,593853.601,604759.337,665128.373,646288.665,494181.958,449302.948,452431.127,600943.131,775880.773,628189.369,399938.005,570742.992,482727.22,581776.949,564571.432,230469.718,371555.406,510484.019,542979.543,365891.652,378190.735,404929.778,530221.418,468366.671,319303.24,108177.483,273571.615,195024.561,197383.905,37390.505,492457.757,347808.49,100881.715,99236.697,128140.046,305756.019,143160.394
October,492229.152,751143.549,592586.453,543417.716,796671.54,584043.542,747703.853,579014.282,601210.027,543000.304,605597.808,589498.633,639400.304,841366.428,525620.809,724121.835,482231.494,774480.214,522644.107,276652.844,457914.193,586812.616,565713.299,398386.166,396864.764,497937.124,613232.384,375849.031,357067.256,277713.181,472860.716,313878.331,282912.177,80845.787,527868.986,477138.3,194888.941,152647.146,182760.675,381921.895,298604.724
November,829803.644,729330.511,827138.653,878371.898,916563.481,834615.891,900789.514,856744.876,669816.406,881941.941,868928.989,848458.936,832957.327,859650.351,667643.967,853005.791,778178.534,867608.579,843210.009,563798.734,829099.334,889759.718,864691.862,774055.422,732976.384,893232.951,813110.345,733687.196,739350.597,840116.688,692667.277,657013.883,721952.021,399141.56,677436.449,684913.021,833032.331,485390.942,612843.782,782876.787,465282.973
December,864797.14,860209.116,913664.624,927676.713,893631.128,908959.662,834450.913,890409.543,933540.862,936098.91,917366.956,930067.625,885664.642,907016.893,882971.724,909592.489,898788.454,909647.499,907601.315,887188.557,926008.296,929444.201,922916.078,810387.367,868297.62,918555.506,919865.419,897530.468,810672.325,920276.341,904028.554,897527.701,939623.083,931882.477,895537.855,899677.974,923322.526,917911.258,891393.079,906862.724,
